having_online_order,not_having_online_order
Empire Restaurant,BabaYaga's
China Bistro & Lounge,Gundappa Donne Biryani
Cafe Terra,Namdhari's Salad Bar
Kobe Sizzlers,Chai Cafe
Hangover,La Madeleine Patisserie
Imli,Cross Roads Cafe
Dhyaana,Sanchez Taqueria & Cantina
Suryawanshi,Anjappar
Cafe Braqa,Waffle Magic
Shaap,New Punjabi Hotel
Asaivam Restaurant,Nandhini Paradise
Tunday Kababi,Madurai Idly Shop
Tata Cha,J's Cafe
Just Khao Suey,Bhikaram Chandmal Bhujiawala
Salt Mango Tree,The Tower Of Pizza
Grubhouse,White Olives
Thai House,Late Night
Little Orissa Restaurant,The Leela Cake Shop - The Leela Palace
Andal Mess,Amma's Pastries
Cafe Coffee Day The Lounge,Bhikaram Chandmal Bhujiawala
Danny Lambas Punjabi Dhaba,Lavonne
Shalimar,Waffle Magic
Cross Roads Cafe,Namdhari's Salad Bar
McDonald's,Chai Cafe
KFC,La Madeleine Patisserie
Cita Pani,Big Pitcher
Taco Bell,Citrus - The Leela Palace
Chetty's Coffee,CloudNYN - Sterling Mac Hotel
Five Star Chicken,The Punjabi Bites
Burger King,Sri Udupi Park
Gundappa Donne Biryani,Bhikaram Chandmal Bhujiawala
Kitchen of Joy,Barbeque Nation
Leon Grill,Bob's Bar
Yomama!!,Nevermind - Bar & Social
Dal Roti Sabji,LOFT38
Khan Saheb Grills and Rolls,1131 Bar + Kitchen
Cheesy Juicy Burgers,Tipsy Bull - The Bar Exchange
Peace Restaurant,BTDT? Been There Done That
Paratha Plaza,SantÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Spa Cuisine
Srinidhi Sagar Food Line,Bologna
Donne Biriyani Mane,Ministry of Food - Hilton Bangalore Embassy GolfLinks
Big Mummy,Southindies
Sethji Home Made Food,Sanchez Taqueria & Cantina
Pathaan Sir,Swing
Fullyfilled,Plan B
Breadworks,Agent Jack's Bar
Tayabbs,Anjappar
Donne Biriyani House,Waffle Magic
Mani's Dum Biryani,BabaYaga's
Plantain Leaf,Bootlegger
Coast,Blistering Barnacles
Rannaghar,Bflat Bar
Mood For Food,New Punjabi Hotel
Sree Spicy Hub,Nandhini Paradise
Chandni Chowk 2 Bangalore,The Salt Grill - Hilton Bangalore Embassy Golflinks
Motis Kitchen,Namdhari's Salad Bar
Snacks Joint,J's Cafe
Spicy Corner,Cafe Srinidhi
Bharpur Aahar,Sri Krishna Sagar
Taza Tawa,Rajan's Cafe
Johny's Kitchen,Cross Roads Cafe
Laddoos,1131 Bar + Kitchen
No More Hungry,Big Pitcher
Faasos,CloudNYN - Sterling Mac Hotel
Meat And Eat,Jeff's - Royal Orchid Hotel
Rajan's Cafe,Nevermind - Bar & Social
Roti Shotti,LOFT38
Pizza Stop,Tipsy Bull - The Bar Exchange
The Tao Terraces,BTDT? Been There Done That
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Felix,Tipsy Bull - The Bar Exchange
The Grill House,BTDT? Been There Done That
Sri Udupi Park,Plan B
Amritsari Kulcha Bite,Bootlegger
Ramji Chaiwale,Blistering Barnacles
New Punjabi Hotel,Bflat Bar
The Chocolate Heaven,Inntense Restobar
Mamma Mexicana,Agent Jack's Bar
Stuffd,Swing
M.M.A Kababs Rolls & Biryani Center,Big Pitcher
The Coffee Bean & Tea Leaf,CloudNYN - Sterling Mac Hotel
Shanmukha,Jeff's - Royal Orchid Hotel
Monkey Bar,Bob's Bar
Hangover,Nevermind - Bar & Social
The Fatty Bao - Asian Gastro Bar,1131 Bar + Kitchen
Monkey Bar,BTDT? Been There Done That
BabaYaga's,Plan B
Hangover,BabaYaga's
The Grill House,Blistering Barnacles
Subz,Inntense Restobar
Fusion Theory,Kava - Fairfield by Marriott
Cable Car,Sangam Restaurant
Empire Restaurant,Feast - Sheraton Grand Bangalore Hotel at Brigade...
The Yellow Chilli,"Lush - Renaissance Hotel, Bengaluru"
Deja Vu Resto Bar,The Green Path - Forgotten Food
Go Native,Kalmane Koffees
Krazzy Folds,Karnataka Bhel House
The Airos,Papanna's Biriyani
Cross Road Cafe,MouthFull Of Cake
Grazers,The Green Path - Forgotten Food
Mug N Bean,Natural Ice Cream
Java City,Park View Restaurant
Slate Cafe,Currylicious
Cafe Shuffle,Bansuri Sweets
D View Cafe,Pure & Natural
Pancuzzi,O.G. Variar & Sons
WAFL,Natural Ice Cream
The Chocolate Room,MouthFull Of Cake
Bun Town,Bansuri Sweets
Cafe Mondo,Pavitra Paradise
Brewz Coffee,"Cinnamon - Renaissance Hotel, Bengaluru"
Bakers Town,Bun World
Woodee Pizza,Amrith Ice Cream
PHEW (Play Hard Eat Wild),Oh So Stoned!
Fish Chain,Gelato Italiano
Gogula's Sweets & Chats,Jetlag
Easy Bites,Sagar Hotel
Empire Restaurant,Kava - Fairfield by Marriott
FreshMenu,Sangam Restaurant
The Paratha Company,White Smoke Barbeque- Fairfield by Marriott
Al-Bek,Hotel Aditya
XO Belgian Waffle,Papanna's Biriyani
Sri Ganesh Juice Junction,Donne Biriyani Mane
Leon Grill,Sloshed
Capsicum Family Restaurant,Bansuri Sweets
Abhiruchi Hotel,MouthFull Of Cake
Kannur Food Point,High Ultra Lounge
BOX8- Desi Meals,Feast - Sheraton Grand Bangalore Hotel at Brigade...
Wok Paper Scissors,"Lush - Renaissance Hotel, Bengaluru"
Just Shawarma,The Persian Terrace - Sheraton Grand Bangalore Hotel...
Roti Wala,"R Bar - Renaissance Hotel, Bengaluru"
Energy Addaa,Indian Kitchen
Apna Punjab,The Green Path - Forgotten Food
Subway,The Beer Cafe
Shanmukha,Hotel Moonlight
Kalingas,RS Shiv Sagar
Biryani Pot,Bene - Sheraton Grand Bangalore Hotel at Brigade...
Chaatimes,Park View Restaurant
Bhukkhad Baba,Cafe Noir
Five Star Chicken,Sanman
House Of Kebabs,Temple Meals
Madeena Hotel,New Samrat Restaurant
Corner House Ice Cream,New Krishna Bhavan
Smoke-A-Pot,Hotel Janatha
Royal Biryani Kitchen,Sai Shakti
99 Pancakes,Alfresco by Bene -Sheraton Grand Bangalore Hotel at...
Shanthi Sagar,Kailash Parbat
Dum Biryani Hub,Sri Sai Ram's
Swad Punjab Da,Chetty's Corner
The Biriyani Pedia,Sagar
SL Vadapav,Veg By Nature
Adithya,Falafel's - The Lebanese Haus
Krispy Kreme,Currylicious
Le Arabia,Pure & Natural
Sri Vishnu Park,Empire Juice Shop
Magix's Parattha Roll,Sloshed
KFC,Jetlag
Savoury Restaurant,High Ultra Lounge
Pizza Hut,The Beer Cafe
Ghee Biryanis,Alfresco by Bene -Sheraton Grand Bangalore Hotel at...
Nutri Rich,Sloshed
Keventers,Jetlag
Krishna Sagar,Kava - Fairfield by Marriott
Cakewala,White Smoke Barbeque- Fairfield by Marriott
Kedia's Fun Food,"R Bar - Renaissance Hotel, Bengaluru"
Mojo Pizza - 2X Toppings,The Beer Cafe
Sri Udupi Food Hub,Alfresco by Bene -Sheraton Grand Bangalore Hotel at...
The Shawarma Shop,The Market - The Ritz-Carlton
Mahesh Friends Food Center,Ithaca - The Chancery Pavilion
Pathaan Sir,JW Kitchen - JW Marriott Bengaluru
Ovenstory Pizza,Rim Naam - The Oberoi
Noodle Panda,Cubbon Pavilion - ITC Gardenia
Galito's,The Spice Bazaar
Delite Chaat House,WelcomCafe Jacaranda - WelcomHotel Bengaluru
Chai Point,Season - Adarsh Hamilton
Twiststick House,Saatvikk
Yum In My Tum,Curry with a 'K' - St. Mark's Hotel
Marwa Restaurant,Japan Travel Cafe Azuki
Wahab,Brik Oven
Grazers,Matteo Coffea
Amontron,Lakeview Milkbar
Patio 805,The Courtyard
ONE IN A MELON,Trick Or Treat
Dosa Plaza,The Blackboard Bakery
Juicy Momos,Fresh Pressery Cafe
Upahara Darshini,Kalmane Koffees
Tarbouche,The Culinarium
Firangi Bake,Cafe Kaara
Vinny's,Cafe Cassia& Deli
Stories,Nagarjuna
Kundana,Alampur Bar And Restaurant
Stoned Monkey,Anna Kuteera
Tall Blonde French,Skoolroom
Odissi Restaurant,Art of Delight
WTF,Hoppipola
Makers of Milkshakes,Pashto
Cold Stone Creamery,Pai Vihar
Tenzin Kitchen,Petoo
Protein Grillhouse,Japan Travel Cafe Azuki
Tibetan Kitchen,Rescafe
Gorbandh,Double Decker
Bikaner Jn,The Chaat Shop
Slate Cafe,Fava
Barbeque Delight,ThrowBack - Pub & Dine
Tapri By The Corner,Khazana Food Paradise
Roundup Cafe,Cafe Kaara
The Belgian Waffle Co.,Mandarin Box
Belgian Waffle Factory,Lakeview Milkbar
McDonald's,Trick Or Treat
Cool Corner,Tempura Restaurant
Anda Ka Funda,Nagashree's
Waffle Head,Indy's Comfort Food
WAFL Co,RR Catering
Grills & Rolls,Vasudev Adiga's
Laddoos,Funjabi
Vakulaa Veg Restaurant,Siddique Kabab Centre
Pappu Chaiwalla,Alchemy - The Chancery Pavilion
Mr. Singh Da Dhaba,Art of Delight
Fresh Pressery Cafe,Ganache - The Ritz-Carlton
Krem,Fabelle Chocolate Boutique - ITC Gardenia
Kairali,Lakeview Milkbar
Frozen Bottle,The Culinarium
Friend's Cafe,The Bengaluru Brasserie - Hyatt Centric MG Road
Pancuzzi,Anand Sweets and Savouries
El Salver,Alchemy - The Chancery Pavilion
Biryani Miya,Nagarjuna
Paisa Vasool,Sotally Tober
Bhavani Chats N Juice,Bang - The Ritz-Carlton
Faasos,Japan Travel Cafe Azuki
LIT Gastro Pub,The Market - The Ritz-Carlton
Bake Addiction,Pashto
Cream Chemistry,Riwaz - The Ritz-Carlton
Go Native,Ithaca - The Chancery Pavilion
Blue Tokai Coffee Roasters,Palmgrove
WAFL,Downtown
Juice Junction,The Ritz-Carlton Bar - The Ritz-Carlton
San Churro Cafe,Rescafe
The Egg Factory,The 13th Floor
Sukh Sagar,JW Kitchen - JW Marriott Bengaluru
Bakers Town,Yauatcha
Zeeshan,The Permit Room
Sai Abhiruchi,Brik Oven
Bun Town,ShakesBierre
Meat And Eat,Rim Naam - The Oberoi
Sandwich Mama's And Frozen Monster,Fava
Karahi Kitchen,Samarkand
1000 B.C,Carnatic
YORK St.,Spice Terrace - JW Marriott
Ulavacharu,SkyDeck By Sherlock's
Cafe Shuffle,1Q1
Bubblewrap Waffle Co.,Hae Kum Gang
Two Friends Cauldron,Double Decker
Cross Road Cafe,Hoppipola
Coffee Tea & More,Tree Tops Bar & Kitchen
Shaap,Matteo Coffea
Crumb Together,Cubbon Pavilion - ITC Gardenia
Sangam Sweets,Chianti
What's In A Name,Alba - JW Marriott Bengaluru
Hunger Hitman,The Spice Bazaar
The Chocolate Room,Capri Gastrobar
Smokey Tribe Restaurant,Cafe Noir
Aalishan Restaurant & Caterer,Salvadores
Little Cafe,Russh Gastropub
Bangaliana,WelcomCafe Jacaranda - WelcomHotel Bengaluru
Desipun,Kebabs & Kurries - ITC Gardenia
Fillers,Coconut Grove
I Cool,Plan B
Paratha Plaza,Season - Adarsh Hamilton
Cane-O-La,Edo Restaurant & Bar - ITC Gardenia
Ruchis Point,Matsuri - The Chancery Hotel
Mudpipe Cafe,The Courtyard
Chai Kraft,Lotus Pavilion - ITC Gardenia
Chaska Bun,Trick Or Treat
Dwaraka Grand,Scottish Pub
The Krishna Grand Xpress,MTR 1924
The Marash,ThrowBack - Pub & Dine
City Durbar,The Blackboard Bakery
Woodee Pizza,Fresh Pressery Cafe
Sagar Fast Food,Polo Club - The Oberoi
The Chaat Shop,Saatvikk
Indori Chatorey,Curry with a 'K' - St. Mark's Hotel
Brew Meister,Chaithanya Delicacy
Yummy Biryani,Tempura Restaurant
Cafe Mondo,White Plate
SGS Non Veg - Gundu Pulav,Ottimo - ITC Gardenia
Calorie Express,Coco Grove Beer Cafe
Paratha Junction,Funjabi
Vyanjan,Nagashree's
Mr. Beans - Home Cafe,RR Catering
Waffle-A-Go Go,By Chance
Mug N Bean,Khazana Food Paradise
Sonar Bangala,Mandarin Box
Pappu Da Dhaba,Indian Coffee House
Bathinda Junction,Siddappa Hotel
Caffe Pascucci,Lakeview Milkbar
Pop Hop,Nisarga Garden
Meghana Foods,Mathsya Darshini
Aramane Donne Briyani,Hotel Ajantha
Litti Twist,Vasudev Adiga's
Taj Darbar,The Culinarium
The Airos,Cafe Kaara
Cafe D'hide,Hamza
Sea Spice by 7 Star,The Bengaluru Brasserie - Hyatt Centric MG Road
Maiyas,Alampur Bar And Restaurant
Potato Bae,Liquid Lounge - Hyatt Centric MG Road
Alankrutha,Vishnu Sagar
Tangerine - Davanam Sarovar Portico Suites,Cafe Cassia& Deli
Mountain Spice,Petoo
Chaitanya Cafe,Bharathi Refreshments
By 2 Coffee,Indy's Comfort Food
Chocoberry,Sagar Chats
Little Lucknow,Alchemy - The Chancery Pavilion
Java City,The 13th Floor
Laziz Pizza,ShakesBierre
Euki,Sotally Tober
Chicken Man,Bang - The Ritz-Carlton
Kalpavriksha Upahara,Downtown
The Jade Kitchen,The Ritz-Carlton Bar - The Ritz-Carlton
Rajanna Military Hotel,The Permit Room
PHEW (Play Hard Eat Wild),ShakesBierre
Uday Sweets,Fava
New Punjabi Hotel,SkyDeck By Sherlock's
Shuddh Desi Khana,1Q1
Baisakhi,Double Decker
Haagen Dazs,Hoppipola
Ivy,Tree Tops Bar & Kitchen
Funky Punjab,Capri Gastrobar
Funky Punjab,Russh Gastropub
Kinpeetos,Coconut Grove
De Thaali,Plan B
Ice Land,Scottish Pub
D View Cafe,ThrowBack - Pub & Dine
The Trundle,White Plate
Tree Top,Liquid Lounge - Hyatt Centric MG Road
Gramin,MoMo Cafe - Courtyard by Marriott
Amande Patisserie,AB's - Absolute Barbecues
Min Mini Punjabi Dhaba,Kava - Fairfield by Marriott
Krazzy Folds,The Square - Novotel
Gud Dhani,Chef's Gallery
Sreeraj Lassi Bar,Anand Sweets And Savouries
Asia Kitchen By Mainland China,California Burrito
Rajvardhan Foods,THE RIG
Habitts,Birbal Darbar
Tandoor Garden,Via Milano
Food Springs,Nayi Dilli by Anand Sweets
Biriyani Mane,Kritunga Restaurant
Kamat Minerva,Paratha Plaza
Davangere Benna Dose Hotel,Happy House Restaurant
1980s Games Cafe,Eden Huts Restaurant
Baba Ka Dhaba,Ammi's Biryani
Buff Buffet Buff,Chef's Gallery
The Yellow Chilli,Mast Kalandar
Brewz Coffee,Parathabox
Indus Family Restaurant,Spice Garden by Dum Mast Biryani
Bonsouth,Taza Tawa
The Kream Story,Wow Vada Pav
Kataria's Pakwan,Health Zingo
Kamat Bugle Rock,Spice Of Kolkata
Sultans of Spice,Anand Sweets And Savouries
Subz,Natural Ice Cream
Polamma's Mess,THE RIG
Cable Car,AB's - Absolute Barbecues
Punjabi Times,Birbal Darbar
Redberrys,Via Milano
Melt - Eden Park,Purani Dilli By Anand Sweets
Banana Beach Bar,Nayi Dilli by Anand Sweets
Sagar Fast Food,Kritunga Restaurant
South Kitchen,Taza Tawa
The Lassi Park,Happy House Restaurant
Tongue Twisters,California Burrito
Kapoor's Biriyani,Natural Ice Cream
Upahara Darshini,Madurai Idly Shop
Targaryen's Kitchen,Paratha Plaza
Chef Master,Kava - Fairfield by Marriott
Deja Vu Resto Bar,Chullah Chandigarh
As On Fire,MoMo Cafe - Courtyard by Marriott
Haji Ali Juice Centre,Blue Terrain - Novotel
Maiyas,The Square - Novotel
Corner House Ice Cream,Eden Huts Restaurant
Bubblewrap Waffle Co.,Health Zingo
Polar Bear,BG's Poolside Bar & Grill
The Belgian Waffle Co.,Glassy
Chocoberry,Chef's Gallery
Krispy Kreme,Mast Kalandar
Keventers,Ammi's Biryani
Sreeraj Lassi Bar,Spice Garden by Dum Mast Biryani
Ibaco,Spice Of Kolkata
Anand Sweets and Savouries,Punjabi Tadka
Pop Hop,THE RIG
Two Friends Cauldron,BG's Poolside Bar & Grill
Slate Cafe,Glassy
Old Mumbai Ice Cream,BG's Poolside Bar & Grill
Sweet Truth,TherPUP - a Dog Cafe
Pancuzzi,Barley & Grapes Cafe
WAFL,Kalmane Koffees
The Chocolate Room,Whitefield Baking Company - Bengaluru Marriott Hotel...
Bun Town,Real Fresh Dosa Corner
Cold Stone Creamery,Maziga
Asha Sweets Centre,Kabab Mandra
Ice Land,Smoke - The Sizzler House
Bake Addiction,Kabab Mirchi
Waffle-A-Go Go,Lucky Singh & Co
Protein Grillhouse,Noodle Bar
Fusion Theory,Flavours Radha Hometel
Subz,Ammi's Biryani
Meghana Foods,New Andhra Chimney
Go Native,ReadyBowl
Cable Car,Cupcake Couture
Al-Bek,VIHAR Family Restaurant
Shanmukha,4700BC Popcorn
Brew Meister,NYS Kitchen
Empire Restaurant,Kartik's Mithai Shoppe
Patio 805,Little Black Choux
LIT Gastro Pub,Whitefield Baking Company - Bengaluru Marriott Hotel...
Krazzy Folds,Cream & Fudge
Sri Udupi Food Hub,Cupcake Couture
The Krishna Grand Xpress,The Creek - The Den Bengaluru
Euki,Feast - Sheraton Grand Bengaluru Whitefield Hotel &...
Sukh Sagar,Biergarten
De Thaali,Windmills Craftworks
City Durbar,The Pallet
Cross Road Cafe,AB's - Absolute Barbecues
The Trundle,Flechazo
Grazers,Oota Bangalore
Mug N Bean,The Biere Club
The Yellow Chilli,alt
Java City,The Terrace at Windmills Craftworks
KFC,M Cafe - Bengaluru Marriott Hotel Whitefield
Maiyas,Layla - The Den Bengaluru
Kabab Magic,Kava Kitchen & Bar - Fairfield by Marriott
Rajanna Military Hotel,The Eatery - Four Points by Sheraton Bengaluru
Vakulaa Veg Restaurant,InAzia - Sheraton Grand Bengaluru Whitefield Hotel &...
Upahara Darshini,Mavalli Tiffin Room (MTR)
Food Springs,Pablo's Gastrobar
McDonald's,Kabab Mandra
Kalpavriksha Upahara,Barley & Grapes Cafe
Rajvardhan Foods,Flavours Radha Hometel
SGS Non Veg - Gundu Pulav,Cafe Noir
Paratha Junction,Kalmane Koffees
Vijayalakshmi Veg,M Bar - Bengaluru Marriott Hotel Whitefield
Polar Bear,Whitefield Bar and Grill - Bengaluru Marriott Hotel...
Wahab,Smoke - The Sizzler House
Chef Master,VIHAR Family Restaurant
Pizza Stop,The Hungry Yeti
Pappu Da Dhaba,New Andhra Chimney
Stories,Elements - Mapple Express
Le Arabia,Chai Point
Crumb Together,Mooch Marod
Baba Chatkora,Mc Donald's
Galito's,WOW! Momo
Vinny's,Squeez Juice Bar
Polamma's Mess,Kabab Mirchi
Caffe Pascucci,Nalaas Aapakadai
The Jade Kitchen,Mothi Restaurant
Punjabi Times,Hunan Express
D View Cafe,Whitefield Baking Company - Bengaluru Marriott Hotel...
The Shawarma Shop,Ammi's Biryani
Drunken Monkey,NYS Kitchen
Tandoor Garden,Tuk-Tuk
Roti Wala,Udupi Grand
Cafe Mondo,Chime - Sheraton Grand Bengaluru Whitefield Hotel &...
Marwa Restaurant,Chung Wah
Shanthi Sagar,The Biere Club
Smoke - The Sizzler House,The Pallet
Bhukkhad Baba,Biergarten
House Of Kebabs,Windmills Craftworks
Faasos,alt
Paisa Vasool,Pablo's Gastrobar
Brewz Coffee,M Bar - Bengaluru Marriott Hotel Whitefield
Bakers Town,Bhagini
The Chocolate Room,Chime - Sheraton Grand Bengaluru Whitefield Hotel &...
Indori Chatorey,The Pallet
The Biriyani Pedia,alt
Baba Ka Dhaba,The Biere Club
Bikaner Jn,Biergarten
Upahara Darshini,Windmills Craftworks
As On Fire,Kava Kitchen & Bar - Fairfield by Marriott
Targaryen's Kitchen,Pablo's Gastrobar
Fillers,M Bar - Bengaluru Marriott Hotel Whitefield
Apna Punjab,Bhagini
Chaitanya Cafe,Chime - Sheraton Grand Bengaluru Whitefield Hotel &...
Magix's Parattha Roll,
Woodee Pizza,
PHEW (Play Hard Eat Wild),
Chai Point,
Crumb Together,
Brew Meister,
Deja Vu Resto Bar,
Stories,
Melt - Eden Park,
Deja Vu Resto Bar,
Cable Car,
Fusion Theory,
The Yellow Chilli,
Slate Cafe,
D View Cafe,
Pancuzzi,
Mudpipe Cafe,
The Chocolate Room,
Woodee Pizza,
WAFL,
Go Native,
The Airos,
Bun Town,
Cross Road Cafe,
Brewz Coffee,
Mug N Bean,
PHEW (Play Hard Eat Wild),
Fish Chain,
FreshMenu,
Capsicum Family Restaurant,
Easy Bites,
XO Belgian Waffle,
Kannur Food Point,
Abhiruchi Hotel,
Al-Bek,
Malenadu Kitchen,
Kitchens@JP Nagar,
Krishna Kuteera,
Kalingas,
Roti Wala,
Corner House Ice Cream,
Apna Punjab,
Five Star Chicken,
Nellore Bhojanam,
Chaatimes,
Shanmukha,
Bhukkhad Baba,
Kitchen Garden,
Swad Punjab Da,
Shanthi Sagar,
Burger King,
Cakebuy,
Smoke-A-Pot,
SL Vadapav,
Pizza Hut,
Adithya,
Faasos,
Kedia's Fun Food,
Krispy Kreme,
Kabab Magic,
KFC,
Keventers,
Le Arabia,
Mahesh Friends Food Center,
Cakewala,
Roll N Rock,
Ghee Biryanis,
Mani's Dum Biryani,
Biryani Durbar,
The Shawarma Shop,
Sri Vishnu Park,
Sri Udupi Food Hub,
Brundhavana Food Point,
Pathaan Sir,
Sankranthi Veg Restaurant,
Chai Point,
Galito's,
Odissi Restaurant,
Dande's Hyderabad Biryani,
Marwa Restaurant,
Patio 805,
Yum In My Tum,
Amontron,
Mast Punjabi,
Vijayalakshmi Veg,
Desi Dawat,
Firangi Bake,
The Spice Saga,
Gorbandh,
Stories,
Cold Stone Creamery,
Kundana,
Grills & Rolls,
Magix's Parattha Roll,
Upahara Darshini,
PHEW (Play Hard Eat Wild),
The Belgian Waffle Co.,
Bikaner Jn,
Protein Grillhouse,
Momo Jojo,
Waffle Head,
Dwaraka Grand,
Deejas Kitchen,
Slate Cafe,
Laddoos,
McDonald's,
Mr. Singh Da Dhaba,
Bathinda Junction,
Pappu Chaiwalla,
Biryani Miya,
Waffle Walle,
Pancuzzi,
Chavadi,
Vakulaa Veg Restaurant,
Bhavani Chats N Juice,
Bake Addiction,
Go Native,
The Egg Factory,
LIT Gastro Pub,
Sai Abhiruchi,
WAFL,
Sukh Sagar,
Asha Sweets Centre,
Zeeshan,
Meat And Eat,
Dakshin Cafe,
Sandwich Mama's And Frozen Monster,
Bun Town,
Ovenstory Pizza,
Ivy,
Waffle Stories,
Bubblewrap Waffle Co.,
Two Friends Cauldron,
Crumb Together,
The Chocolate Room,
Krazzy Folds,
Hatti Kaapi,
Maiyas,
Chai Kraft,
I Cool,
Woodee Pizza,
City Durbar,
Ibaco,
Mug N Bean,
The Krishna Grand Xpress,
Bakers Town,
Paratha Plaza,
Berrylicious,
Brew Meister,
Waffle-A-Go Go,
Paratha Junction,
Vyanjan,
Dream a Dozen,
Aramane Donne Briyani,
Pop Hop,
Calorie Express,
Pappu Da Dhaba,
Aramane Restaurant,
Alankrutha,
Meghana Foods,
Litti Twist,
The Airos,
Midnight Mania,
Chicken Man,
Brews N Bites,
Euki,
Sea Spice by 7 Star,
Goa 0 Km,
Chaitanya Cafe,
Kalpavriksha Upahara,
Caffe Pascucci,
Chocoberry,
Smoke - The Sizzler House,
Rajanna Military Hotel,
The Trundle,
Ice Land,
Funky Punjab,
D View Cafe,
Shuddh Desi Khana,
Mudpipe Cafe,
Cross Road Cafe,
Kakal-Kai Ruchi,
Bangaliana,
Tandoor Garden,
Sreeraj Lassi Bar,
BIB - Breakfast in the Box,
Shanghai Court,
Anand Sweets and Savouries,
Biriyani Mane,
Shetty's Kitchen,
Food Springs,
Gud Dhani,
The Jade Kitchen,
Rajvardhan Foods,
Baba Ka Dhaba,
The Yellow Chilli,
Brewz Coffee,
Indus Family Restaurant,
Davangere Benna Dose Hotel,
Kataria's Pakwan,
Cable Car,
Punjabi Times,
Kabab Treat,
Tongue Twisters,
Melt - Eden Park,
Sagar Fast Food,
Targaryen's Kitchen,
Sri Bhagya Grand,
BOX8- Desi Meals,
Mojo Pizza - 2X Toppings,
Chef Master,
Malhar Maharashtrian Cuisine,
New Kabab Plaza,
Deja Vu Resto Bar,
Two Friends Cauldron,
Slate Cafe,
Cakewala,
Dream a Dozen,
Pancuzzi,
Polar Bear,
Stoned Monkey,
Sweet Truth,
Berrylicious,
Asha Sweets Centre,
Keventers,
Bake Addiction,
Ice Land,
The Chocolate Room,
WAFL,
Cold Stone Creamery,
Corner House Ice Cream,
Bubblewrap Waffle Co.,
Waffle Stories,
Bun Town,
Ibaco,
Pop Hop,
Crumb Together,
Stories,
Le Arabia,
Mani's Dum Biryani,
Two Friends Cauldron,
Caffe Pascucci,
D View Cafe,
Melt - Eden Park,
The Egg Factory,
The Jade Kitchen,
Kakal-Kai Ruchi,
Bikaner Jn,
Mudpipe Cafe,
Drunken Monkey,
Shanthi Sagar,
Zeeshan,
Empire Restaurant,
New Prashanth Hotel,
Targaryen's Kitchen,
Pizza Hut,
Woodee Pizza,
Momo Jojo,
Dakshin Cafe,
Faasos,
McDonald's,
Meat And Eat,
Bhukkhad Baba,
Paratha Plaza,
Grills & Rolls,
Chaitanya Cafe,
The Chocolate Room,
Five Star Chicken,
Deja Vu Resto Bar,
Chavadi,
Galito's,
Punjabi Times,
Kundana,
A2B - Adyar Ananda Bhavan,
Malhar Maharashtrian Cuisine,
Marwa Restaurant,
Aramane Restaurant,
Polar Bear,
Shuddh Desi Khana,
Burger King,
Bangaliana,
Smoke - The Sizzler House,
Nellore Bhojanam,
Go Native,
Cable Car,
Fusion Theory,
Protein Grillhouse,
Shanmukha,
Al-Bek,
Patio 805,
Bathinda Junction,
The Krishna Grand Xpress,
New Kabab Plaza,
Ivy,
Euki,
Kabab Magic,
Sri Udupi Food Hub,
The Airos,
Rajanna Military Hotel,
The Yellow Chilli,
Litti Twist,
The Shawarma Shop,
Cross Road Cafe,
LIT Gastro Pub,
Rajvardhan Foods,
Kalpavriksha Upahara,
Apna Punjab,
The Trundle,
Roti Wala,
Magix's Parattha Roll,
Kataria's Pakwan,
Baba Ka Dhaba,
Brewz Coffee,
Mug N Bean,
Dwaraka Grand,
Tandoor Garden,
Chai Point,
Mahesh Friends Food Center,
Chef Master,
Pappu Da Dhaba,
Upahara Darshini,
Mr. Singh Da Dhaba,
PHEW (Play Hard Eat Wild),
Amontron,
Stories,
Crumb Together,
Deja Vu Resto Bar,
Chavadi,
Zamindar,
Empire Restaurant,
Giselle Resto Cafe,
Cafe Azzure,
Cafe Pink Pajamas,
Cafe Coffee Day,
Chaai Resto,
Onesta,
Yomama!!,
Avista Cafe Pizzeria,
Teapoy Mutiny,
Patio - The Resto Cafe,
Polar Bear,
FreshMenu,
Cafe 99 Kerala Mess,
Paul's Dum Biryani,
Berakah,
KFC,
Matru Sagar,
Sikori,
Leon's Take Away,
Donne Biryani Kuteera,
Marwari Basa,
Belgian Waffle Factory,
Brahmins' Thatte Idli,
Kijiji - Chal Yaha Khate Hai,
North Indian Bhukkads,
Cream Stone,
BOX8- Desi Meals,
Ovenstory Pizza,
Behrouz Biryani,
Matsya Loka,
Sukh Sagar,
Sanky's Burger House,
Zamindar,
Dunkin' Donuts,
Keto Kitchen,
Connie's Restaurant & Steakhouse,
Kapoor's Punjabi Rolls,
Taste Of Nawaabs,
YumYumDilli,
Sweet Truth,
Cafe Pink Pajamas,
Wangs Kitchen,
Faasos,
Foodies Choice,
JS Food Court,
Food Magic Restaurant,
WOW! Momo,
Savoury Restaurant,
One For The Road,
Casa De Goa,
Pizza Stop,
InnerChef,
Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,
Anu Momos Chinese Kitchen,
Ammi's Biryani,
Cafe Azzure,
Marhaba,
Avista Cafe Pizzeria,
Vijaya Gardenia,
Goli Vada Pav No. 1,
Chaai Resto,
Zaica Dine & Wine,
Frozen Bottle,
